Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7nF,C_0402,96.52,-25.908,270,bottom
C2,1uF,C_0402,102.937,-30.365,0,bottom
C3,0.1uF,C_0402,106.937,-35.765,270,bottom
C4,0.1uF,C_0402,91.137,-34.865,270,bottom
C5,0.1uF,C_0402,91.137,-43.265,90,bottom
C6,10uF,C_0402,105.737,-43.265,90,bottom
C7,22pF,C_0402,108.837,-36.865,0,bottom
C8,22pF,C_0402,108.837,-42.065,180,bottom
F1,500mA,Fuse_0805,93.237,-30.565,0,bottom
R1,1M,R_0402,100.584,-25.908,270,bottom
R2,5.1k,R_0402,98.552,-25.908,270,bottom
R3,5.1k,R_0402,100.537,-30.065,180,bottom
R4,22,R_0402,98.737,-30.065,0,bottom
R5,22,R_0402,96.937,-30.065,0,bottom
R6,10k,R_0402,105.837,-35.665,90,bottom
R7,10k,R_0402,90.737,-44.865,0,bottom
SW1,SW_Push,TS-1187A-B-A-B,106.437,-29.465,90,bottom
U1,ATmega32U4-AU,TQFP-44_10x10mm_P0.8mm,98.437,-38.465,270,bottom
X1,16MHz,Crystal_SMD_3225-4pin_3.2x2.5mm,108.837,-39.465,90,bottom
