Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0402,72.339,-31.0805,270,bottom
C2,10uF,C_0402,69.65,-31.325,0,bottom
C3,100nF,C_0402,91.95,-28.925,90,bottom
C4,1uF,C_0402,76.35,-30.525,180,bottom
C5,1uF,C_0402,77.35,-29.425,180,bottom
C6,10pF,C_0402,82.65,-43.325,90,bottom
C7,10pF,C_0402,76.7,-43.85,180,bottom
C8,100nF,C_0402,85.55,-36.225,0,bottom
C9,100nF,C_0402,85.55,-32.625,0,bottom
C10,100nF,C_0402,83.25,-28.025,90,bottom
C11,100nF,C_0402,74.7,-31.075,90,bottom
C12,100nF,C_0402,73.6,-31.075,90,bottom
C13,100nF,C_0402,75.3,-37.125,270,bottom
C14,100nF,C_0402,76.05,-41.925,270,bottom
C15,100nF,C_0402,73.85,-41.925,270,bottom
C16,100nF,C_0402,84.95,-28.025,90,bottom
D1,20V 1A,D_SOD-323,73.228,-28.223,90,bottom
F1,500mA,Fuse_0805,76.85,-27.925,0,bottom
R2,5.1k,R_0402,78.75,-22.425,270,bottom
R3,5.1k,R_0402,82,-27.875,90,bottom
R4,27,R_0402,80.65,-27.925,270,bottom
R5,27,R_0402,79.25,-27.925,270,bottom
R6,1k,R_0402,91.95,-39.5955,90,bottom
R7,10k,R_0402,67.25,-29.625,0,bottom
R8,1k,R_0402,77.25,-41.775,270,bottom
SW1,BOOT,TS-1187A-B-A-B,89.45,-23.925,0,bottom
SW2,RESET,TS-1187A-B-A-B,70.45,-23.925,180,bottom
U1,RP2040,RP2040,79.95,-35.225,180,bottom
U2,W25Q128JV,W25Q128JVPIQ,90.05,-34.75,90,bottom
U3,AP2112K-3.3,SOT-23-5,69.9895,-28.5405,270,bottom
Y1,12MHz,Crystal_SMD_3225-4pin_3.2x2.5mm,79.95,-42.675,0,bottom
